"Old Key","New Key",Action,Category,"Usage Count",Confidence,Files
messages.language.switched_successfully,ui.common.language.switched_successfully,map,ui,2,50,resources/views/partials/language-switcher.blade.php
messages.language.switch_failed,ui.common.language.switch_failed,map,ui,4,50,resources/views/partials/language-switcher.blade.php
messages.language.auto_detect_failed,ui.common.language.auto_detect_failed,map,ui,2,50,resources/views/partials/language-switcher.blade.php
common.loading,ui.common.loading,map,ui,2,50,resources/views/components/language-switcher.blade.php
language.switched_successfully,ui.common.language.switched_successfully,map,ui,2,50,resources/views/components/language-switcher.blade.php
language.switch_failed,ui.common.language.switch_failed,map,ui,4,50,resources/views/components/language-switcher.blade.php
language.auto_detected,ui.common.language.auto_detected,map,ui,2,50,resources/views/components/language-switcher.blade.php
messages.forgot_password,ui.common.forgot_password,map,ui,2,50,resources/views/components/auth-modal.blade.php
nav.auth.login,ui.navigation.auth.login,map,ui,4,70,resources/views/components/auth-modal.blade.php
content.processing,content.pages.processing,map,content,2,80,resources/views/components/auth-modal.blade.php
content.error_occurred,content.pages.error_occurred,map,content,2,80,resources/views/components/auth-modal.blade.php
messages.please_enter_valid_page,ui.common.please_enter_valid_page,map,ui,2,50,resources/views/whats-new/media.blade.php
messages.close,ui.common.close,map,ui,2,50,resources/views/whats-new/media.blade.php
messages.next,ui.common.next,map,ui,2,50,resources/views/whats-new/media.blade.php
messages.previous,ui.common.previous,map,ui,2,50,resources/views/whats-new/media.blade.php
messages.image,ui.common.image,map,ui,2,50,resources/views/whats-new/media.blade.php
messages.image_not_found,ui.common.image_not_found,map,ui,10,50,resources/views/whats-new/media.blade.php
messages.loading,ui.common.loading,map,ui,2,50,resources/views/whats-new/media.blade.php
messages.download,ui.common.download,map,ui,2,50,resources/views/whats-new/media.blade.php
messages.common.loading,ui.common.loading,map,ui,2,50,resources/views/home.blade.php
messages.common.load_more,ui.common.load_more,map,ui,2,50,resources/views/home.blade.php
messages.common.no_more_posts,ui.common.no_more_posts,map,ui,2,50,resources/views/home.blade.php
messages.common.error_occurred,ui.common.error_occurred,map,ui,2,50,resources/views/home.blade.php
messages.profile_updated,ui.common.profile_updated,map,ui,2,50,resources/views/user/settings-new.blade.php
messages.password_updated,ui.common.password_updated,map,ui,2,50,resources/views/user/settings-new.blade.php
messages.preferences_updated,ui.common.preferences_updated,map,ui,2,50,resources/views/user/settings-new.blade.php
messages.notifications_updated,ui.common.notifications_updated,map,ui,2,50,resources/views/user/settings-new.blade.php
messages.privacy_updated,ui.common.privacy_updated,map,ui,2,50,resources/views/user/settings-new.blade.php
messages.saving,ui.common.saving,map,ui,2,50,resources/views/user/settings-new.blade.php
messages.error_occurred,ui.common.error_occurred,map,ui,20,50,"resources/views/user/settings-new.blade.php; resources/views/user/my-threads.blade.php; resources/views/user/bookmarks-new.blade.php"
messages.confirm_delete_thread,ui.common.confirm_delete_thread,map,ui,2,50,resources/views/user/my-threads.blade.php
messages.confirm_delete_bookmark,ui.common.confirm_delete_bookmark,map,ui,2,50,resources/views/user/bookmarks-new.blade.php
messages.select_bookmarks_first,ui.common.select_bookmarks_first,map,ui,2,50,resources/views/user/bookmarks-new.blade.php
messages.confirm_delete_selected_bookmarks,ui.common.confirm_delete_selected_bookmarks,map,ui,2,50,resources/views/user/bookmarks-new.blade.php
coming_soon.notify_success,content.pages.notify_success,map,content,2,50,resources/views/coming-soon.blade.php
coming_soon.share_text,content.pages.share_text,map,content,4,50,resources/views/coming-soon.blade.php
coming_soon.copied,content.pages.copied,map,content,2,50,resources/views/coming-soon.blade.php
